"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.040874999E-3,3.576423726E0,1.903930892E0,-2.334965849E0,4.676304634E0
1.202887500E-2,2.621985054E0,-3.010339576E-1,-9.911347742E-1,2.819179882E0
2.201687499E-2,1.615940611E0,-4.705438623E-1,2.978523414E-1,1.709207887E0
3.200487500E-2,6.728069454E-1,-4.648381492E-1,-1.315408637E-1,8.282793548E-1
4.199287500E-2,-4.320838013E0,-2.347698307E0,-4.424653865E-1,4.937317500E0
5.198087500E-2,-9.561066488E0,-3.626290535E0,5.087182868E-1,1.023829916E1
6.196887499E-2,-6.086031142E0,-1.596201580E0,1.135052001E0,6.393432380E0
7.195687500E-2,-7.024418038E-1,5.784191439E-1,5.627366191E-1,1.069890507E0
8.194487500E-2,7.739491582E-2,5.751546434E-1,-2.919155172E-1,6.496210479E-1
9.193287500E-2,-7.277444601E-3,5.631535256E-1,-3.480306610E-1,6.620575471E-1
1.019208750E-1,7.292337459E-1,4.762141997E-1,-4.048391385E-1,9.604460153E-1
1.119088750E-1,1.265842082E0,3.473076528E-1,-5.630115844E-1,1.428271972E0
1.218968750E-1,1.415615003E0,-1.215130350E-1,-2.788293023E-1,1.447921625E0
1.318848750E-1,1.210877670E0,-4.705637428E-1,2.693227530E-3,1.299100543E0
1.418728750E-1,6.712059778E-1,-2.771018887E-1,-1.271373256E-1,7.372020218E-1
1.518608750E-1,4.499181014E-1,-2.382319379E-1,-4.986865112E-1,7.126492761E-1
1.618488750E-1,1.040383387E-1,9.080725908E-4,-6.173572147E-1,6.260628811E-1
1.718368750E-1,2.209540004E-1,3.092621595E-1,-5.392427990E-1,6.597321804E-1
1.818248750E-1,4.682087767E-1,5.789357454E-1,-3.569464955E-1,8.257099106E-1
1.918128750E-1,8.421861649E-2,8.709936422E-1,-3.690011153E-1,9.496760096E-1
2.018008750E-1,-3.337812889E-1,9.460689676E-1,-3.229640861E-1,1.053927057E0
2.117888750E-1,-1.764368087E-1,8.314360589E-1,-9.759441465E-2,8.555352344E-1
2.217768750E-1,4.756095976E-1,9.856207037E-1,-1.226109959E-1,1.101220285E0
2.317648750E-1,1.073685034E0,1.672303677E0,-1.854052681E-1,1.995939441E0
2.417528750E-1,2.256036478E0,2.517368426E0,-3.034383327E-1,3.393953329E0
2.517408750E-1,2.889205148E0,1.940903714E0,-4.935892010E-1,3.515429407E0
2.617288750E-1,2.916256707E0,1.497265522E0,3.217420180E-1,3.293914867E0
2.717168750E-1,1.245315431E0,1.484627935E0,2.930553734E0,3.513271384E0
