"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.673458345E-3,-5.877495459E-1,2.596485347E-1,-1.736280402E0,1.851360722E0
1.470745838E-2,-3.790391766E-1,1.158555615E-1,-1.485671078E0,1.537631868E0
2.474145836E-2,-2.181256291E-1,-1.195112407E-1,-1.158343946E0,1.184745721E0
3.477445833E-2,-3.143066255E-1,-4.137495643E-1,-9.959767073E-1,1.123364125E0
4.480845836E-2,-2.868154295E-2,-3.723530316E-1,-8.024215901E-1,8.850705166E-1
5.484245834E-2,7.660948858E-2,-2.307849240E-1,-4.516383523E-1,5.129404411E-1
6.487645837E-2,1.197513420E-1,-7.711308002E-3,-2.490557188E-1,2.764572286E-1
7.490945834E-2,2.035681086E-1,2.699513286E-1,-2.994294816E-1,4.516322720E-1
8.494345838E-2,6.712456658E-1,3.571581647E-1,-5.530653244E-1,9.402201612E-1
9.497745836E-2,9.462389754E-1,2.266222912E-1,-5.592399842E-1,1.122263437E0
1.050114583E-1,1.061202398E0,-5.662502110E-2,-2.316415411E-1,1.087664804E0
1.150454584E-1,1.139387273E0,-3.034307313E-1,3.108976257E-1,1.219397761E0
1.250784583E-1,1.012019567E0,-5.242137006E-1,5.197841424E-1,1.252660833E0
1.351124584E-1,6.519268307E-1,-6.052642956E-1,8.119794488E-2,8.932785492E-1
1.451464584E-1,4.503325228E-1,-5.505285099E-1,-5.423888934E-1,8.944644951E-1
1.551804583E-1,5.187613182E-1,-4.860813761E-1,-1.148684345E0,1.350875322E0
1.652134584E-1,6.239034650E-1,-4.856463432E-1,-1.401431996E0,1.609074126E0
1.752474583E-1,8.718301595E-1,-6.754949105E-1,-1.271735491E0,1.683357466E0
1.852814584E-1,1.310321413E0,-1.101675071E0,-9.118434602E-1,1.939610441E0
1.953154583E-1,1.752344604E0,-1.554085840E0,-4.221286243E-1,2.379934239E0
2.053484584E-1,1.822996072E0,-1.683236800E0,5.185363466E-1,2.534853200E0
2.153824584E-1,1.481317241E0,-1.274886263E0,1.147081624E0,2.266149157E0
2.254164583E-1,1.676376555E0,-6.740304753E-1,1.185478535E0,2.160998563E0
2.354504584E-1,2.366707021E0,-8.337690979E-2,1.088205425E0,2.606231931E0
2.454844583E-1,8.835762656E-1,-4.572290213E-1,7.816212898E-1,1.265186641E0
2.555174584E-1,4.081071474E-2,-7.435013907E-1,1.152597302E-1,7.534883130E-1
2.655514583E-1,1.043235293E0,-5.364820361E-5,-1.021455950E-1,1.048224023E0
2.755854584E-1,2.093353636E0,6.766922741E-1,2.384757668E-1,2.212896873E0
2.856194584E-1,1.998838803E0,1.025423724E0,8.188183522E-1,2.391090519E0
2.956524583E-1,1.231886716E0,8.468953662E-1,9.056512588E-1,1.747850350E0
3.056864584E-1,6.571012511E-1,5.137559554E-1,7.154752475E-1,1.098923139E0
3.157204583E-1,2.744187110E-1,2.916507845E-1,-1.384819472E-1,4.237252161E-1
3.257544584E-1,2.554932109E-1,1.090227246E-1,-1.081851840E0,1.116945003E0
3.357874583E-1,6.154272681E-1,-2.377274694E-1,-1.459575539E0,1.601757106E0
3.458214584E-1,7.224272215E-1,-4.530185875E-1,-1.714329370E0,1.914693740E0
3.558554584E-1,3.977365988E-1,-5.384803221E-1,-2.079444133E0,2.184546489E0
3.658894583E-1,-1.149109438E-2,-3.944056593E-1,-2.196130584E0,2.231295008E0
3.759234584E-1,-8.035012785E-1,-8.751304742E-1,4.096161675E-1,1.256683356E0
3.859564583E-1,-5.649869201E-1,-1.391663345E0,-8.888054305E-1,1.745254188E0
3.959904584E-1,-1.076329145E0,-1.102108057E0,-1.254922991E0,1.986946983E0
4.060244584E-1,-1.788896718E0,-3.592936409E-1,-6.352993959E-1,1.932058154E0
4.160584583E-1,-2.086433018E0,6.138663539E-1,-9.830818427E-1,2.386730933E0
4.260914584E-1,-1.930490554E0,1.388912230E0,-6.012627536E-1,2.453036457E0
4.361254583E-1,-1.548852874E0,1.889746716E0,1.052142137E-1,2.445640593E0
