"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.301291705E-3,-4.383102089E-1,1.960010076E-1,-1.014350998E0,1.122247825E0
1.529029169E-2,-4.851393896E-1,3.527812314E-1,-7.821399379E-1,9.856762689E-1
2.528029168E-2,-5.573484099E-1,3.290742803E-1,-5.803367382E-1,8.693203447E-1
3.526929166E-2,-5.791696340E-1,2.590755075E-1,-3.665385604E-1,7.327401311E-1
4.525929166E-2,-5.653523710E-1,1.794849622E-1,-2.287138402E-1,6.357264945E-1
5.524829170E-2,-4.909053290E-1,2.461859053E-1,-5.630167007E-2,5.520556313E-1
6.523829169E-2,-5.283886126E-1,3.073758477E-1,5.507901728E-2,6.137655381E-1
7.522729167E-2,-5.448265976E-1,1.950280309E-1,1.122437364E-1,5.894663778E-1
8.521729166E-2,-3.555121735E-1,5.528016150E-2,1.636594731E-1,3.952584280E-1
9.520629171E-2,-2.245074995E-1,7.112962425E-2,2.831543416E-1,3.682925765E-1
1.051962917E-1,-1.051653895E-1,1.103480691E-1,5.372585464E-1,5.584650402E-1
1.151852917E-1,-1.407497898E-1,2.011629295E-1,6.892364520E-1,7.316583317E-1
1.251752917E-1,-1.823945367E-1,3.437040138E-1,5.939426243E-1,7.100479260E-1
1.351642917E-1,-3.114846861E-1,2.624680620E-1,4.557536227E-1,6.112475422E-1
1.451542917E-1,-5.396246222E-1,1.783055788E-1,5.621747017E-1,7.993922739E-1
1.551432917E-1,-7.829866147E-1,4.388984388E-1,7.063226008E-1,1.142187154E0
1.651332917E-1,-1.197187292E0,8.129272825E-1,1.305238282E0,1.948782992E0
1.751232917E-1,-1.394059827E0,9.116838312E-1,1.474042135E0,2.224268515E0
1.851122917E-1,-8.314952619E-1,3.833510596E-1,6.507904243E-1,1.123330130E0
1.951022917E-1,1.043002939E-1,-5.060063481E-2,-9.763680696E-2,1.515649090E-1
2.050912917E-1,6.412825593E-1,1.673297703E-2,-3.173587990E-1,7.157093829E-1
2.150812917E-1,1.122538959E0,2.859422940E-1,-9.382442236E-2,1.162178873E0
2.250705833E-1,6.097602198E-1,6.091284281E-1,1.307039809E-1,8.717387786E-1
2.350605833E-1,-1.863201381E-1,8.683536243E-1,-5.859319389E-1,1.063987522E0
2.450495833E-1,-4.564035407E-1,1.288850291E0,-1.762253734E0,2.230465756E0
2.550395834E-1,-8.795992818E-1,6.827261621E-1,3.792661947E-1,1.176287701E0
2.650285834E-1,-1.118048151E0,-5.101309741E-1,1.056013579E0,1.620317857E0
